VendorAddress,VendorID,VendorINN,VendorNm
"355012, г. Ставрополь, ул. Добролюбова, 53, Юр.адрес: 357623, г. Ессентуки, ул. Лермонтова, 144 Б",2,2634056663,"ООО ""Флорес"""
"623050, Нижнесергинский р-н, раб.пос.Бисерть, ул.Ленина, 59",3,6646015620,"ООО ""Альфа-Фарм"""
"125993, г.Москва, ул.Большая Дмитровка, 7/5, стр.5",4,7710106212,"ОАО ""Фармацевтический импорт, экспорт"" (ОАО ""Фармимэкс"")"
"г.Подольск, пр-т Ленина, 1",5,7726320638,"ЗАО ""Роста"""
"г.Хабаровск, ул.Индустриальная, 1Б",6,7724053916,"ЗАО ""Фирма ""Центр внедрения ""Протек"", филиал №24, г.Хабаровск"
"167983, г.Сыктывкар, ул.Ленина, 49",7,1101487569,"ГУП РК ""Государственные аптеки Республики Коми"""
"153000, г.Иваново, Фрунзенский р-н, пр-т Ленина, 11",9,3731001407,"МУП ""Фармация"", Аптека №1"
"355007, г. Ставрополь, ул. Огородная, 2В",10,2636052865,"ООО ""Фарм-Трейд"""
"429212, Вурнарский р-он, пос.Вурнары, ул.Матросова, 8",11,2126003123,"ГУП ""Фармация"", Аптека №26"
"426067, г.Ижевск, ул.Труда, 1",12,1834015616,"ГУП УР ""Аптека №181"""
"630047, г.Новосибирск, ул.Даргомыжского, 8г",13,7726320638,"ЗАО ""Роста"""
"150044, г. Ярославль, ул. Пожарского, 66, литер Б",14,7606043943,"ООО ""Ярфарма"""
"660012, г.Красноярск, ул.Складская, 28",15,2464013476,"ООО ""ПФК ""Фортуна Плюс инк"""
"665895, г.Ангарск, кв-л 94, 3А/3Б, пом.113",16,3801047493,"МУП АМО ""Аптека №88"""
"350062, г.Краснодар, ул.Яна Полуяна, 34",17,2310047725,"ООО ""Научно-производственная фирма ""НМ"""
"117418, г.Москва, ул.Зюзинская, 3",18,7727629725,"ООО ""Владос"""
"658087, г.Новоалтайск, ул.Ударника, 27",19,2208006823,"МУП ""Аптека №126"""
"167000, г.Сыктывкар, ул.Пушкина, 114",21,1101116606,"ООО ""Коми Уро"""
"г.Екатеринбург, ул.Зоологическая, 9, лит.А2",22,6658305669,"ООО ""Антибиотик плюс"""
"111024, г.Москва, ул.2-я Кабельная, 2, стр.9",23,7713154020,"ЗАО ""Фарм-Синтез"""
"193019, г.Санкт-Петербург, ул.Шпалерная, 34, пом. 20Н, лит.Б, 193019, г.Санкт-Петербург, ул.Фуршатского, 42, лит.А, пом.35Н",24,7816108650,"ЗАО ""Империя-Фарма"""
"г. Москва, ул. Вересаева, 8",25,7731241639,"ЗАО ""Фирма Евросервис"""
"680003, г.Хабаровск ул.Иртышская .15",26,2723046392,"ЗАО ""Медсервис ""Дальний Восток"""
428000 Чувашия г. Чебоксары ул. Гузовского д.14,27,2130027102,Врачебно-консультативный центр ООО
"г.Великий Новгород, наб.реки Гзень, 5",28,5321087250,"ЗАО ""СИА Интернейшнл Лтд"""
"г.Москва, г.Зеленоград, ул.проезд 4806, 6",29,7714511476,"ООО ""Фарм Лайн"""
"г.Санкт-Петербург, ул.Белоостровская, 23, лит. А, пом 3",31,7826032263,"ООО ""ПромКапитал"""
"г.Нальчик, ул.Ленина, 23, кв.9",33,0721061641,"ООО ""Кавказ-Фарм"""
"644052, г.Омск, ул.22 Партсъезда, 98, корп.2, 634009, г.Томск, пр-т Ленина, 173, 45",36,5503077873,"ООО ""Западно-Сибирская фармацевтическая компания"""
г.Пятигорск ул.Московская д.66 кв.37,39,263211896339,ИП Синикиди И.С.
"624320, г.В.Тура, ул.Володарского, 68",42,6620010930,"МУП ""Аптека №111"""
"424006, г. Йошкар-Ола, ул. Крылова, 24",43,1215055717,"АО ""Марий Эл-Фармация"""
"г.Нальчик, ул.Кузнецова, 3, тел:77-00-50",45,0721061842,"ООО ""Фармконтракт"""
"665466, г.Усолье-Сибирское, ул.Ленинский, 2, кв.2 (юр.адрес), 664020, г.Иркутск, ул.Р.Люксембург, 184",47,3819006829,"ООО ""Восток Интертрейд"""
"394019, г.Воронеж, ул.9 января, 300А",48,3662072732,"ООО ""Арома"""
"410004, г.Саратов. ул.Чернышевского, 88, 443069, г.Самара ул.Мориса Тореза, 67",49,6319037334,"ООО ""Фарм СКД"""
"350010, г.Краснодар, ул.Зиповская, 5",53,7702034211,"ЗАО ""М-Центр"""
"410030, г.Саратов, ул.Соколовая, 44/62",54,6450925840,"ООО ""Саратовский аптечный склад ""Фармация"""
"456501, Сосновский р-н, пос.Новый Кременкуль, ул.Центральная, 2",55,7438022226,"ООО ""Рифарм-Челябинск"""
"107143, г.Москва, ул.Пермская, влад.7, стр.2",56,7718635264,"ООО ""Рифарм-Москва"""
"121357, г. МОСКВА, ул. ВЕРЕЙСКАЯ, д. 29, корп. 32А",57,7724202886,"ООО ""Фирма ""Хелс-М"""
"195271, г.Санкт-Петербург, Кондратьевский пр-т. 72А",58,7808033360,"ЗАО ""Биотехнотроник"""
"390011, г.Рязань, ул.Трудовая, 7",59,6230001289,"ООО ""Аптека №175"""
"667004, г.Кызыл, 2-ая Серебрянка, 8, ул. Кечил-оола, 5А, пом.1-6 (кв.112)",60,170100490290,ИП Ооржак Аюша Барчыновна
"г.Хабаровск, ул.Запарина, 76",61,2700001349,"Хабаровское краевое ГУП ""Фармация"", Филиал г. Комсомольск-на-Амуре"
,63,,"ФГУ ""Дальневосточное управление материально-технического и военного снабжения"" МВД России"
"г.Ижевск, ул.Мельничная, 34А",65,1835067173,"ЗАО ""Аптеки ""Фармакон"""
"г.Белгород, ул.Везельская, 109",67,3123041588,"ЗАО ""Фармкомплект"""
"г.Краснодар, ул.Одесская, 41",71,2310067376,"ГУП КК ""Кубань-Фармация"""
"119602, г.Москва, Мичуринский пр-т, 14, корп.1 (юр.адрес), 143966, г.Реутов, ул.Победы, 2 (факт.адрес)",72,7729366648,"ООО ""Фармацевтическая компания ""МедАрго"""
"667005, г.Кызыл, ул.Терешковой, 10",73,171700624518,ИП Чанзан Шолбан Хертекович
"г. Свободный, ул. Луговая, 39",75,2801056707,"ЗАО ""Дальсиб Фармация"""
"117036, г.Москва, ул.Дмитрия Ульянова, 17, корп.1",76,7721573201,"ООО ""Вита Лайн"""
